precipitation_probability,temperature_c,wind_speed_mps,humidity_percent,cloudiness_percent,pressure_hpa,precipitation_mm,flood_label
18.0,9.4,7.5,100.0,76.8,1023.6,0.9,0
12.0,9.0,7.0,100.0,100.0,1032.5,0.0,1
30.2,2.2,4.8,90.9,100.0,1017.6,0.5,0
19.6,7.1,7.7,91.1,100.0,1019.5,0.0,0
33.8,8.6,8.3,99.5,100.0,1026.3,0.4,1
15.5,6.5,9.0,88.9,100.0,1020.3,0.0,0
9.5,6.1,8.4,60.8,88.3,1008.4,0.0,0
22.4,4.4,9.6,68.0,76.7,986.6,0.0,0
22.0,7.0,9.6,100.0,100.0,1019.0,1.4,1
25.8,11.6,9.8,90.9,92.1,996.0,0.0,0
18.0,2.9,5.2,90.6,75.0,1020.2,0.4,0
18.3,6.2,7.9,88.6,98.9,1017.1,0.0,0
17.7,9.5,10.3,76.7,86.0,998.5,0.0,0
27.2,7.0,3.6,79.8,93.0,1014.4,0.0,0
9.2,8.0,7.7,95.3,91.2,1034.7,0.0,0
47.4,9.9,5.7,98.2,94.9,1026.5,0.0,0
20.9,7.7,7.9,93.9,100.0,1033.2,0.0,0
29.4,6.8,8.3,94.7,96.0,1007.4,1.2,0
32.1,7.1,11.3,100.0,100.0,1020.0,0.2,1
21.4,5.8,10.0,51.1,100.0,1002.5,0.0,0
16.4,5.9,3.0,82.5,100.0,1020.5,0.0,0
19.1,9.5,9.2,97.3,20.5,1033.1,0.0,0
51.3,8.7,5.2,100.0,100.0,1015.9,1.0,1
32.4,7.7,12.9,100.0,70.0,988.0,0.0,1
7.6,7.7,4.3,100.0,100.0,1031.8,0.0,1
23.2,5.6,8.2,84.1,85.2,993.1,0.0,0
24.3,10.0,10.7,100.0,100.0,1007.7,1.4,1
32.7,6.9,14.7,84.9,39.4,986.3,0.0,0
22.4,8.2,5.2,97.3,94.5,1026.9,0.0,0
4.6,5.6,6.3,72.2,27.6,1028.5,0.0,0
21.3,7.1,2.8,85.6,100.0,1013.3,0.0,0
3.2,3.6,3.2,68.5,4.4,1028.6,0.0,0
34.7,5.7,9.3,86.3,100.0,1023.7,6.0,1
8.7,9.1,8.8,85.8,41.2,1030.0,0.0,0
11.1,5.1,3.7,77.3,33.9,1019.1,0.0,0
22.6,3.9,9.0,79.8,100.0,1007.0,0.0,0
6.5,8.3,3.5,91.4,99.0,1028.9,0.0,0
60.9,2.4,2.1,99.8,100.0,1023.1,0.0,1
13.8,8.5,4.1,94.0,72.3,1022.6,0.0,0
16.1,5.7,10.4,73.2,100.0,1014.2,0.0,0
8.5,8.5,5.9,91.6,99.9,1026.5,0.0,0
19.9,6.2,6.9,100.0,85.7,1005.9,0.0,0
30.9,3.9,2.8,93.4,77.4,1020.4,0.0,0
18.6,6.3,9.2,75.6,68.1,1031.7,0.0,0
16.9,8.2,7.3,100.0,100.0,1027.4,0.0,1
27.0,8.5,8.3,100.0,100.0,1027.6,0.7,1
15.3,9.7,8.6,90.5,81.0,1026.3,0.0,0
29.3,9.0,8.5,97.5,100.0,1037.8,0.0,1
25.4,5.7,14.0,77.2,75.0,996.6,0.6,0
24.9,2.4,5.3,87.3,75.0,1027.9,0.3,0
17.4,4.8,7.8,64.3,66.4,1014.1,0.0,0
6.1,4.1,2.7,94.0,13.1,1023.5,0.0,0
11.2,4.9,9.0,63.6,86.7,1012.1,0.0,0
33.8,7.9,9.8,91.6,99.5,1004.0,0.3,1
14.6,7.8,11.0,93.4,27.7,984.0,0.0,1
17.3,8.6,6.6,91.5,96.8,1025.4,0.0,0
24.2,8.0,8.4,97.8,91.5,1020.4,0.0,0
35.4,1.0,2.5,88.7,81.6,1006.4,0.5,0
15.2,9.5,6.5,96.7,95.6,1028.5,0.0,1
43.3,6.3,15.8,83.5,75.0,995.3,1.3,0
27.0,8.5,7.6,100.0,75.0,1028.2,0.3,0
21.5,8.3,12.1,70.0,75.0,998.2,0.1,0
29.8,9.0,9.8,91.4,100.0,1011.0,0.0,0
25.1,6.3,7.0,80.9,100.0,1008.2,0.0,0
28.0,10.2,7.5,95.0,100.0,1026.2,0.1,1
23.2,6.2,7.4,56.4,100.0,1014.6,0.0,0
27.7,9.0,11.2,100.0,100.0,1025.1,0.7,1
37.6,9.1,9.0,100.0,89.3,1016.8,3.3,0
18.0,9.5,9.6,100.0,100.0,1027.4,0.1,1
29.6,8.9,10.3,96.8,100.0,1022.4,0.0,1
33.7,6.4,4.2,92.2,100.0,1011.5,0.4,0
18.0,7.2,9.0,80.4,83.8,987.4,0.0,0
13.8,8.6,8.1,100.0,100.0,1025.1,0.0,1
45.7,7.1,6.8,100.0,100.0,1015.0,3.5,1
21.6,7.9,5.2,95.3,81.7,1008.5,0.1,0
14.2,2.7,8.2,72.7,76.6,987.8,0.0,0
17.1,4.3,3.5,86.4,39.8,1022.8,0.0,0
6.4,3.1,0.9,66.1,37.4,1023.4,0.0,0
7.5,4.3,3.1,93.1,74.4,1009.9,0.0,0
15.9,7.0,5.8,99.3,96.3,1033.0,0.0,1
18.0,8.8,4.3,91.7,100.0,1025.8,0.5,0
2.6,3.8,3.0,73.0,72.9,1020.1,0.0,0
16.1,7.3,5.7,99.0,74.4,1035.5,0.0,0
14.6,10.0,6.6,70.3,87.6,1029.8,0.0,0
15.0,4.6,5.3,73.8,72.4,1017.3,0.0,0
18.9,4.3,7.5,56.4,83.6,1007.6,0.0,0
18.0,4.5,10.7,73.5,75.0,1020.0,0.4,0
35.4,8.3,6.9,100.0,100.0,1020.0,0.8,1
30.7,5.5,11.6,70.0,100.0,991.4,0.1,1
18.8,9.7,5.7,85.5,100.0,1038.0,0.0,0
12.4,3.2,2.3,84.8,38.8,1021.6,0.0,0
20.7,7.9,9.1,94.7,91.3,1035.4,0.0,0
54.5,8.8,7.0,100.0,100.0,1032.0,0.0,1
44.2,6.8,2.5,93.6,100.0,1018.4,0.6,0
36.2,6.3,8.0,100.0,100.0,1003.2,0.3,1
58.8,4.0,15.6,95.3,100.0,974.0,0.5,1
16.6,1.4,1.0,81.3,30.0,1027.2,0.0,0
30.2,4.9,11.9,100.0,100.0,1004.8,1.4,1
10.1,7.3,7.8,100.0,94.1,1030.8,0.0,0
6.3,3.1,8.0,79.9,10.0,1007.8,0.0,0
9.8,6.9,5.9,72.2,100.0,1017.3,0.0,0
28.2,10.5,7.1,90.5,99.3,1025.0,0.0,0
23.0,4.3,5.3,70.0,100.0,1008.3,0.4,0
25.4,4.5,11.1,90.4,95.0,991.0,0.0,1
42.5,5.4,3.5,93.3,100.0,1008.9,0.0,0
29.1,7.1,18.0,90.3,79.4,975.2,0.4,1
22.4,4.6,6.5,95.1,100.0,1010.8,0.0,1
52.4,4.2,4.8,100.0,100.0,995.4,0.4,1
11.2,1.9,0.0,80.2,8.4,1015.4,0.0,0
27.8,6.5,6.6,100.0,100.0,1008.0,0.4,1
24.8,8.8,9.3,89.8,93.7,1029.9,0.0,0
20.7,4.8,8.7,91.0,90.8,987.7,0.0,1
20.4,8.8,7.1,88.0,96.6,1022.7,0.0,0
40.3,8.8,6.9,100.0,100.0,1027.7,0.0,1
13.6,9.5,9.7,88.9,98.3,1019.5,0.0,0
30.2,7.3,11.7,84.4,75.0,1003.3,0.2,0
18.1,7.6,7.8,91.8,100.0,1027.8,0.0,0
37.3,0.3,11.4,89.8,75.0,978.8,0.8,0
44.0,10.4,9.3,88.0,100.0,1030.7,0.2,0
10.8,2.6,2.0,92.7,62.1,1025.9,0.0,0
16.3,8.3,5.9,100.0,77.0,1027.7,0.0,0
10.2,8.7,8.6,95.9,80.0,1023.5,0.0,0
33.6,8.8,8.8,92.3,95.9,1025.0,0.0,0
44.0,6.0,13.6,91.9,100.0,984.0,0.0,1
21.8,5.6,7.0,84.3,75.0,1000.8,0.1,0
11.5,5.7,3.7,70.3,77.2,1022.2,0.0,0
33.4,9.3,8.1,94.3,100.0,1023.4,0.2,0
11.1,6.6,9.1,97.1,83.6,996.3,0.0,1
22.0,7.0,9.8,88.4,100.0,1011.1,0.0,0
23.1,9.8,10.2,92.1,100.0,1023.5,0.0,0
15.1,7.3,5.8,85.1,100.0,1006.6,0.0,0
10.7,7.5,8.1,100.0,97.3,1032.8,0.0,1
18.5,5.1,3.2,97.1,100.0,1018.6,0.0,1
10.4,3.4,8.1,59.3,66.5,1010.4,0.0,0
28.9,5.5,2.4,100.0,92.2,1004.6,0.0,1
36.4,8.5,8.5,98.5,75.0,1017.4,0.3,0
33.1,7.7,7.0,100.0,100.0,1009.0,0.5,1
20.9,9.2,13.9,54.9,52.8,994.5,0.0,0
22.7,10.1,14.1,95.3,100.0,1006.9,0.3,1
8.0,9.6,8.3,100.0,77.5,1031.7,0.0,0
44.9,4.2,3.7,100.0,100.0,997.6,0.8,1
20.8,9.9,9.8,99.5,65.6,1028.5,0.0,0
21.9,2.5,3.5,78.0,100.0,1018.2,0.0,0
15.8,7.8,6.6,100.0,100.0,1032.0,0.0,1
28.2,3.0,11.9,91.0,88.2,1006.3,0.4,0
2.1,5.6,9.3,62.8,12.0,1006.6,0.0,0
27.0,8.3,6.5,100.0,100.0,1028.0,0.0,1
14.8,1.2,1.7,85.4,53.9,1025.6,0.0,0
18.3,8.6,6.6,96.9,100.0,1037.2,0.0,1
18.0,5.6,6.3,80.2,100.0,1005.3,0.1,0
45.5,3.7,2.9,100.0,100.0,1006.4,0.7,1
16.6,8.5,6.6,98.2,68.8,1033.6,0.0,0
34.7,10.3,12.3,100.0,100.0,990.4,0.0,1
14.6,7.0,7.8,73.1,93.2,1025.2,0.0,0
27.7,6.5,8.2,81.0,100.0,1003.2,0.0,0
27.5,7.8,6.1,86.3,100.0,1026.5,0.0,0
12.2,8.0,6.5,79.5,100.0,1027.5,0.0,0
6.7,5.2,8.4,82.1,0.0,1004.7,0.0,0
18.5,4.3,3.7,85.2,100.0,1009.2,0.0,0
22.8,8.7,6.3,98.3,100.0,1029.7,0.0,1
8.6,6.0,2.5,83.6,86.0,1019.4,0.0,0
32.0,8.2,8.5,100.0,100.0,1021.9,0.0,1
33.1,9.2,9.8,92.0,100.0,994.1,2.4,1
26.0,6.3,9.2,100.0,91.2,1018.0,1.2,0
16.3,2.0,3.9,82.5,95.5,1009.8,0.0,0
16.2,8.4,7.0,100.0,95.2,1020.9,0.0,1
11.6,2.3,0.0,77.0,100.0,1011.4,0.0,0
34.6,5.7,9.7,73.7,96.1,988.0,0.4,1
19.3,8.0,6.4,100.0,100.0,1022.5,0.0,1
4.9,9.5,5.6,85.5,100.0,1031.8,0.0,0
24.7,5.0,1.2,87.7,77.6,1013.3,0.0,0
12.5,6.2,8.3,73.3,67.4,1030.0,0.0,0
38.6,9.1,12.7,100.0,100.0,1019.8,1.0,1
24.3,9.4,6.1,100.0,92.1,1026.2,0.0,0
32.6,6.8,5.0,100.0,100.0,1015.2,0.8,1
38.3,2.9,6.5,97.3,100.0,1004.1,1.3,1
17.0,5.1,0.9,76.8,19.0,1019.8,0.0,0
19.8,4.5,5.2,89.6,100.0,1012.1,0.0,0
24.4,8.8,10.7,99.2,100.0,1007.7,0.0,1
22.5,5.3,0.8,77.8,100.0,1014.5,0.0,0
23.5,7.7,8.9,68.5,100.0,1003.9,0.0,0
16.1,2.8,0.0,72.0,15.0,1027.4,0.0,0
12.8,7.2,6.0,82.4,77.2,1017.8,0.0,0
20.6,9.0,5.4,95.3,99.1,1033.9,0.0,1
22.3,4.8,7.5,100.0,100.0,1005.3,0.9,1
8.0,5.0,6.0,68.1,64.9,1011.4,0.0,0
15.9,1.3,2.5,98.9,86.1,1026.6,0.0,0
44.5,9.8,7.3,100.0,97.3,1021.1,0.0,1
2.9,3.3,2.0,72.9,66.0,1022.4,0.0,0
24.9,6.6,11.2,92.4,100.0,1024.6,0.0,0
17.4,7.2,8.6,92.7,100.0,1030.6,0.0,0
49.7,7.9,9.9,90.1,100.0,1012.7,1.7,0
26.0,4.6,5.5,100.0,86.2,998.2,0.1,1
29.0,9.6,9.9,87.4,100.0,996.2,0.1,1
13.8,6.0,4.2,69.1,36.1,1021.7,0.0,0
28.3,7.9,9.6,75.7,94.1,991.9,0.1,0
16.4,9.0,6.3,86.9,100.0,1032.4,0.0,0
30.9,8.8,5.9,100.0,91.1,1035.0,0.0,0
11.2,7.4,7.0,88.4,70.9,1027.7,0.0,0
14.7,7.0,6.1,100.0,98.9,1020.7,0.0,1
19.5,6.1,3.8,90.5,96.5,1019.2,0.0,0
11.3,3.3,0.8,76.2,82.5,1006.8,0.0,0
19.3,7.7,10.8,56.2,31.1,1000.8,0.0,0
34.2,-1.5,11.5,95.1,76.2,991.4,0.9,1
33.8,6.6,4.8,91.1,100.0,1018.6,0.7,0
35.0,2.6,8.3,87.3,100.0,991.2,1.7,1
18.8,3.3,6.6,100.0,75.0,1015.4,1.1,0
32.9,10.5,12.1,100.0,100.0,1005.9,0.3,1
3.9,5.5,3.4,72.3,21.4,1023.9,0.0,0
28.8,9.8,8.4,95.3,100.0,1023.8,1.4,1
28.5,1.8,8.7,97.8,100.0,990.8,0.0,1
24.3,5.2,4.3,91.6,100.0,1003.4,0.0,1
21.2,9.3,7.3,91.4,100.0,1028.6,0.0,0
10.6,8.0,8.2,100.0,88.2,1027.9,0.0,0
14.8,4.6,4.1,77.1,68.8,1006.8,0.0,0
41.0,9.2,5.3,99.5,100.0,1019.9,0.8,1
9.4,8.7,4.0,90.0,86.8,1023.6,0.0,0
52.8,8.2,10.6,72.3,100.0,1020.4,0.0,0
31.3,5.6,4.4,100.0,100.0,1000.7,1.9,1
41.2,8.6,8.2,100.0,100.0,1025.3,4.1,1
35.5,7.7,10.3,100.0,100.0,1021.8,0.8,1
20.1,2.6,1.6,82.4,87.7,1025.6,0.0,0
15.4,10.3,13.8,75.3,48.8,1002.5,0.0,0
41.4,7.3,11.5,96.8,100.0,1019.1,2.6,1
16.5,5.5,6.7,96.2,88.3,1007.9,0.0,0
39.8,4.0,3.8,73.4,100.0,1003.2,0.3,0
19.3,3.2,2.1,83.9,92.6,1026.7,0.0,0
8.7,8.7,8.1,100.0,95.1,1027.5,0.0,1
44.9,11.2,9.9,93.5,100.0,1018.4,0.0,0
19.2,3.3,1.1,80.6,100.0,1024.2,0.0,0
26.2,8.7,12.0,89.8,100.0,994.4,0.0,1
34.2,2.8,7.2,82.4,76.9,1009.9,0.5,0
33.5,6.3,9.0,81.0,100.0,1013.6,0.3,0
8.9,7.8,6.4,93.0,67.3,1022.3,0.0,0
36.0,7.0,6.3,100.0,100.0,1031.8,0.7,1
25.2,11.0,5.3,91.6,88.9,1030.6,0.0,0
24.3,4.2,11.3,65.0,81.6,1001.6,0.0,0
23.8,2.2,5.4,83.8,75.0,1005.2,0.4,0
8.4,9.1,10.7,77.8,97.0,1014.1,0.0,0
12.6,7.6,7.7,92.8,100.0,1022.2,0.0,0
9.8,4.3,2.1,85.5,61.0,1021.8,0.0,0
45.4,6.9,7.3,100.0,100.0,1018.6,1.4,1
42.9,6.8,8.6,84.7,100.0,1004.4,0.8,0
17.7,2.1,0.0,80.0,28.2,1026.2,0.0,0
16.8,9.0,9.3,96.1,94.0,1025.7,0.0,0
18.9,9.0,6.9,95.1,100.0,1025.1,0.0,1
49.4,6.7,9.0,100.0,100.0,983.0,1.0,1
18.0,1.8,5.5,76.6,75.0,1013.6,0.6,0
23.9,6.8,6.3,69.0,72.4,1016.0,0.0,0
42.4,7.2,2.5,98.9,100.0,1003.3,3.5,1
24.7,10.2,6.8,84.5,87.4,1036.6,0.0,0
25.0,5.5,3.3,71.5,93.6,1023.1,0.0,0
13.6,7.1,14.3,65.5,26.2,1012.4,0.0,0
35.6,10.9,6.3,100.0,100.0,1024.8,0.2,1
0.0,11.1,16.0,73.1,25.9,1000.0,0.0,0
20.6,6.4,3.9,73.6,81.6,1009.5,0.0,0
19.9,1.6,9.1,99.0,96.5,1004.7,0.0,1
18.2,9.3,9.3,87.7,100.0,1021.8,0.0,0
9.1,4.1,1.4,76.6,100.0,1010.6,0.0,0
0.0,8.2,6.0,98.5,75.0,1031.7,0.0,0
15.3,2.6,1.8,79.8,47.3,1025.9,0.0,0
22.0,9.3,8.4,90.1,100.0,1029.2,0.0,0
44.0,5.0,3.5,96.3,100.0,1003.7,0.9,1
18.0,4.2,12.8,84.4,81.6,1016.6,0.2,0
9.8,8.5,5.3,87.7,100.0,1032.9,0.0,0
21.3,9.1,4.8,92.1,93.8,1030.3,0.0,0
39.7,9.4,16.9,70.0,75.0,997.5,2.0,0
17.7,3.4,11.8,89.1,100.0,985.0,0.0,1
22.3,4.8,13.3,100.0,100.0,1018.1,0.3,1
32.2,9.8,7.6,98.4,85.9,1024.5,2.2,0
18.6,8.2,6.7,94.2,87.6,1027.3,0.0,0
32.4,8.5,7.9,100.0,92.4,981.6,0.0,1
21.2,3.3,9.7,65.2,80.7,1003.5,0.0,0
18.0,8.9,5.0,100.0,100.0,1027.3,0.0,1
25.7,5.8,1.8,75.8,88.5,1008.6,0.0,0
28.7,3.2,10.1,89.0,92.1,976.8,0.5,1
16.2,8.0,10.5,100.0,100.0,1008.2,0.0,1
18.6,2.8,0.0,84.4,52.5,1025.7,0.0,0
10.8,8.3,10.0,84.4,100.0,1027.2,0.0,0
38.3,8.0,9.3,87.5,75.0,1020.8,0.6,0
16.7,10.8,14.4,54.3,37.6,1000.5,0.0,0
20.3,4.2,8.6,88.8,75.0,1005.9,0.2,0
17.6,3.3,9.0,72.8,96.7,993.4,0.0,1
30.3,9.2,11.8,96.1,100.0,1008.0,0.7,1
14.9,7.2,7.6,94.7,100.0,1029.5,0.0,0
17.0,2.6,2.7,90.8,96.5,1022.7,0.0,0
30.3,10.0,10.5,100.0,100.0,1026.5,4.5,1
21.0,6.1,9.7,58.5,100.0,1001.9,0.0,0
33.4,5.8,8.1,94.6,100.0,1002.8,0.2,1
22.2,9.6,10.9,86.2,89.4,1007.5,0.0,0
2.6,8.7,7.7,96.1,83.7,1025.8,0.0,0
26.9,7.3,8.0,98.7,91.5,1016.4,0.5,0
20.1,8.2,9.0,85.7,95.4,1007.1,0.0,0
25.2,8.7,8.1,100.0,81.9,1026.0,0.0,0
28.4,-0.5,12.7,77.9,75.0,986.3,0.1,0
23.7,4.2,2.4,82.4,91.6,1017.4,0.0,0
34.3,9.7,9.3,94.6,63.5,990.7,0.0,1
29.1,5.2,9.3,67.6,79.1,1002.6,0.0,0
10.7,8.5,6.6,91.0,100.0,1016.9,0.0,0
37.9,7.7,11.0,100.0,100.0,1015.9,0.4,1
23.1,7.4,2.3,86.3,100.0,1010.0,0.0,0
20.0,7.6,4.9,99.7,92.0,1034.4,0.0,0
18.8,10.1,15.1,74.3,75.0,987.1,1.4,1
49.2,1.9,1.6,98.0,94.9,1032.0,5.3,1
11.2,2.1,0.8,80.6,50.1,1024.4,0.0,0
7.4,5.2,8.1,80.0,5.4,1011.0,0.0,0
37.5,9.1,9.9,84.2,100.0,1021.1,0.5,0
25.0,9.2,8.6,95.2,100.0,1017.8,0.0,1
23.0,10.3,7.5,89.3,95.0,1001.2,0.0,1
25.5,8.2,8.5,90.8,100.0,1026.2,0.0,0
29.6,11.4,11.6,100.0,81.3,980.0,0.0,1
20.0,5.5,5.5,90.3,100.0,1029.3,0.0,0
14.9,9.8,7.3,89.7,100.0,1024.0,0.0,0
15.3,5.9,5.4,66.6,100.0,1022.3,0.0,0
16.8,8.9,7.3,97.9,100.0,1032.7,0.0,1
26.5,6.7,13.2,82.6,75.0,985.3,0.4,0
18.2,8.1,7.0,96.1,100.0,1030.0,0.0,1
16.7,9.5,11.0,96.7,98.2,1014.5,0.0,1
19.1,1.9,3.5,84.9,100.0,1001.6,0.0,0
15.3,5.8,3.3,84.4,85.5,1019.0,0.0,0
6.7,1.2,0.8,77.3,39.4,1019.6,0.0,0
12.7,10.0,6.2,100.0,53.6,1029.9,0.0,0
33.6,8.8,3.4,87.0,100.0,1028.2,0.0,0
12.2,6.1,1.5,83.1,100.0,1004.9,0.0,0
17.3,6.7,4.1,72.3,49.9,1025.9,0.0,0
35.2,3.0,4.4,97.2,100.0,1000.2,1.1,1
18.0,7.9,15.3,70.0,75.0,997.4,0.2,0
0.0,8.6,5.4,98.1,90.1,1035.3,0.0,0
23.7,3.7,3.6,86.1,78.2,1009.4,0.0,0
21.3,3.3,7.4,87.3,75.0,1013.7,0.9,0
41.2,8.0,8.3,100.0,100.0,1022.5,0.5,1
15.7,7.3,7.9,99.7,100.0,1025.5,0.0,1
20.5,8.1,6.6,97.9,100.0,1026.4,0.0,1
40.0,2.1,10.1,91.7,100.0,996.2,0.1,1
13.9,10.4,5.9,92.2,79.2,1002.0,0.0,0
5.3,2.4,0.9,85.9,40.1,1029.3,0.0,0
29.0,-0.0,11.1,99.4,100.0,986.1,1.3,1
19.1,3.2,2.8,83.2,100.0,1018.6,0.4,0
33.8,8.3,6.1,100.0,100.0,1029.9,0.0,1
10.2,9.8,7.4,96.9,97.9,1031.0,0.0,1
14.3,6.0,1.8,69.0,86.4,1020.4,0.0,0
20.5,7.0,6.2,93.3,96.1,1020.4,0.0,0
14.6,7.9,7.1,98.1,100.0,1020.9,0.0,1
24.5,1.8,0.8,81.6,75.0,1002.8,1.7,0
5.2,2.7,3.4,68.8,46.8,1026.0,0.0,0
30.2,5.4,6.6,88.5,100.0,995.8,0.1,1
17.0,9.4,9.5,84.1,100.0,1023.5,0.0,0
7.7,8.9,7.0,81.0,92.7,1021.8,0.0,0
27.6,3.0,1.5,81.0,100.0,1019.7,0.0,0
44.3,8.5,7.2,100.0,100.0,1012.7,0.0,1
3.1,3.9,3.0,84.7,10.7,1023.2,0.0,0
17.0,10.9,6.5,84.6,85.5,1022.1,0.0,0
16.7,1.3,11.1,86.6,91.3,1007.9,0.0,0
7.6,10.5,6.6,100.0,100.0,1034.4,0.0,1
23.4,2.3,8.9,86.2,92.6,998.7,0.0,0
12.2,9.5,8.4,97.8,86.0,1025.3,0.0,0
10.1,5.8,7.1,66.3,41.2,1012.1,0.0,0
28.9,6.8,6.1,100.0,100.0,1021.7,0.3,1
17.8,9.7,12.1,94.5,78.6,1020.1,0.0,0
27.3,7.8,6.2,100.0,87.9,1020.4,0.0,0
25.7,6.8,7.1,89.7,100.0,1026.8,0.0,0
19.4,6.6,5.5,92.6,100.0,1005.5,0.0,0
21.2,7.1,8.3,80.0,99.4,1021.8,0.0,0
11.4,10.0,5.9,100.0,100.0,1021.0,0.0,1
21.3,7.9,7.0,89.4,80.1,1037.0,0.0,0
31.3,7.7,9.1,100.0,100.0,1020.9,0.2,1
30.1,8.2,6.6,91.3,100.0,1024.0,0.5,0
21.5,9.1,7.5,94.5,81.0,1027.3,0.0,0
37.8,3.7,2.8,98.6,75.0,1008.4,1.0,0
32.1,10.6,8.9,100.0,100.0,1019.9,0.7,1
18.0,2.9,8.8,100.0,75.0,1022.2,0.1,0
28.7,6.8,11.0,94.3,100.0,986.4,0.2,1
63.3,8.1,9.8,100.0,94.5,1017.9,0.0,0
30.7,5.1,4.5,83.5,100.0,1005.5,0.1,0
22.0,9.6,6.5,100.0,87.0,1032.9,0.0,0
38.6,6.3,9.7,100.0,100.0,1022.1,0.8,1
26.6,8.4,8.9,100.0,100.0,1025.9,0.0,1
9.2,6.8,7.5,86.2,47.3,1025.1,0.0,0
6.4,4.5,2.7,82.4,27.1,1028.4,0.0,0
15.4,7.8,6.5,100.0,100.0,1033.3,0.0,1
7.1,9.7,9.7,87.1,90.9,1031.2,0.0,0
22.4,2.4,0.0,73.8,21.6,1019.9,0.0,0
6.4,10.2,15.4,65.3,59.9,1000.6,0.0,0
25.8,6.2,8.3,81.5,88.6,1028.1,0.0,0
35.5,9.0,7.5,95.0,75.0,1029.6,0.5,0
11.1,9.0,6.7,100.0,100.0,1032.2,0.0,1
18.3,3.5,1.3,83.7,68.3,1029.0,0.0,0
12.5,8.2,7.6,78.0,76.6,1026.4,0.0,0
11.5,4.9,8.9,64.2,37.6,1003.7,0.0,0
35.5,4.2,2.9,100.0,75.0,1006.3,2.1,0
23.4,4.7,1.2,80.2,83.1,1009.7,0.0,0
24.7,10.5,6.5,100.0,100.0,1033.5,0.0,1
22.7,7.4,9.5,97.2,91.9,1025.0,0.0,0
25.8,4.7,7.4,99.8,100.0,991.1,0.7,1
13.8,8.0,6.2,100.0,85.1,1030.8,0.0,0
22.4,9.3,9.1,95.2,100.0,1020.5,0.0,1
19.0,4.2,7.4,74.7,42.8,986.5,0.0,0
19.0,7.9,12.0,100.0,91.9,1018.8,0.0,1
17.8,7.6,6.5,98.5,100.0,1027.7,0.0,1
43.9,8.2,9.7,100.0,100.0,1003.3,3.1,1
11.1,4.0,6.0,85.1,87.9,1014.8,0.0,0
24.6,9.5,8.4,85.1,100.0,1025.2,0.0,0
28.9,10.5,16.0,87.1,91.4,1000.6,1.9,1
16.6,9.6,10.6,85.1,100.0,996.9,0.0,1
12.9,8.3,4.2,100.0,93.7,1025.9,0.0,0
13.2,3.0,4.3,72.4,35.1,1024.3,0.0,0
15.0,5.0,11.3,69.1,20.7,1007.8,0.0,0
27.0,6.9,10.5,100.0,96.9,1014.9,0.3,1
25.2,2.6,0.2,74.0,70.0,1023.8,0.0,0
17.3,8.1,7.0,100.0,100.0,1029.4,0.0,1
20.5,4.4,15.0,76.1,75.0,1016.4,0.7,0
